id;name;cityId
399;Bangun Purba;30
400;Galang;30
401;STM Hulu;30
402;Patumbak;30
403;Deli Tua;30
404;Sunggal;30
405;Hamparan Perak;30
406;Labuhan Deli;30
407;Percut Sei Tuan;30
408;Batang Kuis;30
409;Lubuk Pakam;30
410;Pagar Merbau;30
411;Pantai Labu;30
412;Beringin;30
413;Siantar;31
414;Gunung Malela;31
415;Gunung Maligas;31
416;Panei;31
417;Panombeian Panei;31
418;Jorlang Hataran;31
419;Raya Kahean;31
420;Bosar Maligas;31
421;Sidamanik;31
422;Pamatang Sidamanik;31
423;Tanah Jawa;31
424;Hatonduhan;31
425;Dolok Panribuan;31
426;Purba;31
427;Haranggaol Horisan;31
428;Girsang Sipangan Bolon;31
429;Dolok Batu Nanggar;31
430;Huta Bayu Raja;31
431;Jawa Maraja Bah Jambi;31
432;Dolok Pardamean;31
433;Pematang Bandar;31
434;Bandar Huluan;31
435;Bandar;31
436;Bandar Masilam;31
437;Silimakuta;31
438;Dolok Silou;31
439;Silou Kahean;31
440;Tapian Dolok;31
441;Raya;31
442;Ujung Padang;31
443;Pamatang Silima Huta;31
444;Dolog Masagal;31
445;Meranti;32
446;Air Joman;32
447;Tanjung Balai;32
448;Sei Kepayang;32
449;Simpang Empat;32
450;Air Batu;32
451;Pulau Rakyat;32
452;Bandar Pulau;32
453;Buntu Pane;32
454;Bandar Pasir Mandoge;32
455;Aek Kuasan;32
456;Kota Kisaran Barat;32
457;Kota Kisaran Timur;32
458;Aek Songsongan;32
459;Rahunig;32
460;Sei Dadap;32
461;Sei Kepayang Barat;32
462;Sei Kepayang Timur;32
463;Tinggi Raja;32
464;Setia Janji;32
465;Silau Laut;32
466;Rawang Panca Arga;32
467;Pulo Bandring;32
468;Teluk Dalam;32
469;Aek Ledong;32
470;Rantau Utara;33
471;Rantau Selatan;33
472;Bilah Barat;33
473;Bilah Hilir;33
474;Bilah Hulu;33
475;Pangkatan;33
476;Panai Tengah;33
477;Panai Hilir;33
478;Panai Hulu;33
479;Sidikalang;34
480;Sumbul;34
481;Tigalingga;34
482;Siempat Nempu;34
483;Silima Pungga Pungga;34
484;Tanah Pinem;34
485;Siempat Nempu Hulu;34
486;Siempat Nempu Hilir;34
487;Pegagan Hilir;34
488;Parbuluan;34
489;Lae Parira;34
490;Gunung Sitember;34
491;Berampu;34
492;Silahisabungan;34
493;Sitinjo;34
494;Balige;35
495;Laguboti;35
496;Silaen;35
497;Habinsaran;35
498;Pintu Pohan Meranti;35
499;Borbor;35
500;Porsea;35
501;Ajibata;35
502;Lumban Julu;35
503;Uluan;35
504;Sigumpar;35
505;Siantar Narumonda;35
506;Nassau;35
507;Tampahan;35
508;Bonatua Lunasi;35
509;Parmaksian;35
510;Panyabungan;36
511;Panyabungan Utara;36
512;Panyabungan Timur;36
513;Panyabungan Selatan;36
514;Panyabungan Barat;36
515;Siabu;36
516;Bukit Malintang;36
517;Kotanopan;36
518;Lembah Sorik Marapi;36
519;Tambangan;36
520;Ulu Pungkut;36
521;Muara Sipongi;36
522;Batang Natal;36
523;Lingga Bayu;36
524;Batahan;36
525;Natal;36
526;Muara Batang Gadis;36
527;Ranto Baek;36
528;Huta Bargot;36
529;Puncak Sorik Marapi;36
530;Pakantan;36
531;Sinunukan;36
532;Naga Juang;36
533;Lolomatua;37
534;Gomo;37
535;Lahusa;37
536;Hibala;37
537;Pulau-Pulau Batu;37
538;Teluk Dalam;37
539;Amandraya;37
540;Lolowau;37
541;Susua;37
542;Maniamolo;37
543;Hilimegai;37
544;Toma;37
545;Mazino;37
546;Umbunasi;37
547;Aramo;37
548;Pulau-Pulau Batu Timur;37
549;Mazo;37
550;Fanayama;37
551;Ulunoyo;37
552;Huruna;37
553;O'o'u;37
